ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime
1312,BHMBCCTHL01,387,26.14449459,91.73620513,120,car,low,2,0,04-10-2016,07:59:00
1313,BHMBCCTHL01,387,26.14449459,91.73620513,129,car,average,2,0,04-10-2016,08:25:00
1314,BHMBCCTHL01,387,26.14449459,91.73620513,155,car,low,2,0,04-10-2016,08:59:00
1315,BHMBCCTHL01,387,26.14449459,91.73620513,204,cycle,low,2,0,04-10-2016,09:32:00
1316,BHMBCCTHL01,387,26.14449459,91.73620513,236,car,low,2,0,04-10-2016,09:59:00
1317,BHMBCCTHL01,387,26.14449459,91.73620513,264,car,low,3,0,04-10-2016,10:26:00
1318,BHMBCCTHL01,387,26.14449459,91.73620513,308,car,average,4,0,04-10-2016,10:59:00
1319,BHMBCCTHL01,387,26.14449459,91.73620513,324,bike,average,5,0,04-10-2016,11:25:00
1320,BHMBCCTHL01,387,26.14449459,91.73620513,332,car,average,5,0,04-10-2016,11:59:00
1321,BHMBCCTHL01,387,26.14449459,91.73620513,334,car,high,8,0,04-10-2016,12:29:00
1322,BHMBCCTHL01,387,26.14449459,91.73620513,333,car,high,7,0,04-10-2016,13:02:00
1323,BHMBCCTHL01,387,26.14449459,91.73620513,331,car,high,7,0,04-10-2016,13:29:00
1324,BHMBCCTHL01,387,26.14449459,91.73620513,332,car,average,4,0,04-10-2016,14:02:00
1325,BHMBCCTHL01,387,26.14449459,91.73620513,322,car,average,3,0,04-10-2016,14:29:00
1326,BHMBCCTHL01,387,26.14449459,91.73620513,307,truck,average,4,0,04-10-2016,14:57:00
1327,BHMBCCTHL01,387,26.14449459,91.73620513,294,car,low,2,0,04-10-2016,15:30:00
1328,BHMBCCTHL01,387,26.14449459,91.73620513,270,car,low,1,0,04-10-2016,16:04:00
1329,BHMBCCTHL01,387,26.14449459,91.73620513,245,car,low,2,0,04-10-2016,16:31:00
1330,BHMBCCTHL01,387,26.14449459,91.73620513,146,car,low,2,0,05-10-2016,07:57:00
1331,BHMBCCTHL01,387,26.14449459,91.73620513,169,car,low,2,0,05-10-2016,08:30:00
1332,BHMBCCTHL01,387,26.14449459,91.73620513,211,bike,low,2,0,05-10-2016,09:04:00
1333,BHMBCCTHL01,387,26.14449459,91.73620513,256,bike,low,3,0,05-10-2016,09:30:00
1334,BHMBCCTHL01,387,26.14449459,91.73620513,310,car,low,3,0,05-10-2016,10:04:00
1335,BHMBCCTHL01,387,26.14449459,91.73620513,337,bike,high,5,0,05-10-2016,10:30:00
1336,BHMBCCTHL01,387,26.14449459,91.73620513,339,car,average,5,0,05-10-2016,11:04:00
1337,BHMBCCTHL01,387,26.14449459,91.73620513,340,truck,average,5,0,05-10-2016,11:30:00
1338,BHMBCCTHL01,387,26.14449459,91.73620513,337,car,high,8,0,05-10-2016,12:04:00
1339,BHMBCCTHL01,387,26.14449459,91.73620513,336,bike,high,8,0,05-10-2016,12:30:00
1340,BHMBCCTHL01,387,26.14449459,91.73620513,343,car,high,8,0,05-10-2016,12:57:00
1341,BHMBCCTHL01,387,26.14449459,91.73620513,345,car,high,7,0,05-10-2016,13:30:00
1342,BHMBCCTHL01,387,26.14449459,91.73620513,345,car,average,5,0,05-10-2016,13:57:00
1343,BHMBCCTHL01,387,26.14449459,91.73620513,336,car,average,4,0,05-10-2016,14:30:00
1344,BHMBCCTHL01,387,26.14449459,91.73620513,326,bike,high,6,0,05-10-2016,14:57:00
1345,BHMBCCTHL01,387,26.14449459,91.73620513,306,car,average,2,0,05-10-2016,15:30:00
1346,BHMBCCTHL01,387,26.14449459,91.73620513,284,car,low,1,0,05-10-2016,16:04:00
1347,BHMBCCTHL01,387,26.14449459,91.73620513,261,bike,average,3,0,05-10-2016,16:30:00
1348,BHMBCCTHL01,387,26.14449459,91.73620513,98,car,low,1,0,06-10-2016,07:57:00
1349,BHMBCCTHL01,387,26.14449459,91.73620513,133,car,low,2,0,06-10-2016,08:30:00
1350,BHMBCCTHL01,387,26.14449459,91.73620513,157,truck,low,1,0,06-10-2016,08:57:00
1351,BHMBCCTHL01,387,26.14449459,91.73620513,192,car,low,1,0,06-10-2016,09:30:00
1352,BHMBCCTHL01,387,26.14449459,91.73620513,228,truck,low,3,0,06-10-2016,10:03:00
1353,BHMBCCTHL01,387,26.14449459,91.73620513,268,cycle,high,5,0,06-10-2016,10:30:00
1354,BHMBCCTHL01,387,26.14449459,91.73620513,287,car,average,4,0,06-10-2016,10:57:00
1355,BHMBCCTHL01,387,26.14449459,91.73620513,300,car,high,6,0,06-10-2016,11:30:00
1356,BHMBCCTHL01,387,26.14449459,91.73620513,312,car,high,7,0,06-10-2016,12:04:00
1357,BHMBCCTHL01,387,26.14449459,91.73620513,322,car,high,8,0,06-10-2016,12:30:00
1358,BHMBCCTHL01,387,26.14449459,91.73620513,330,truck,average,5,0,06-10-2016,12:57:00
1359,BHMBCCTHL01,387,26.14449459,91.73620513,325,car,high,7,0,06-10-2016,13:30:00
1360,BHMBCCTHL01,387,26.14449459,91.73620513,328,truck,average,5,0,06-10-2016,13:57:00
1361,BHMBCCTHL01,387,26.14449459,91.73620513,307,bike,average,4,0,06-10-2016,14:30:00
1362,BHMBCCTHL01,387,26.14449459,91.73620513,296,truck,low,2,0,06-10-2016,15:04:00
1363,BHMBCCTHL01,387,26.14449459,91.73620513,287,bike,low,2,0,06-10-2016,15:31:00
1364,BHMBCCTHL01,387,26.14449459,91.73620513,260,car,low,2,0,06-10-2016,16:04:00
1365,BHMBCCTHL01,387,26.14449459,91.73620513,247,car,low,2,0,06-10-2016,16:30:00
1366,BHMBCCTHL01,387,26.14449459,91.73620513,105,bike,low,1,0,07-10-2016,08:03:00
