ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime
2624,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,04-10-2016,07:59:00
2625,BHMEURBRD01,470,26.14901995,91.7395035,174,bike,low,1,0,04-10-2016,08:25:00
2626,BHMEURBRD01,470,26.14901995,91.7395035,269,truck,low,2,0,04-10-2016,08:59:00
2627,BHMEURBRD01,470,26.14901995,91.7395035,351,cycle,low,3,0,04-10-2016,09:32:00
2628,BHMEURBRD01,470,26.14901995,91.7395035,397,bike,low,2,0,04-10-2016,09:59:00
2629,BHMEURBRD01,470,26.14901995,91.7395035,430,car,low,3,0,04-10-2016,10:26:00
2630,BHMEURBRD01,470,26.14901995,91.7395035,458,cycle,high,6,0,04-10-2016,10:59:00
2631,BHMEURBRD01,470,26.14901995,91.7395035,464,car,average,5,0,04-10-2016,11:25:00
2632,BHMEURBRD01,470,26.14901995,91.7395035,460,bike,average,5,0,04-10-2016,11:59:00
2633,BHMEURBRD01,470,26.14901995,91.7395035,464,car,high,8,0,04-10-2016,12:29:00
2634,BHMEURBRD01,470,26.14901995,91.7395035,458,car,high,8,0,04-10-2016,13:02:00
2635,BHMEURBRD01,470,26.14901995,91.7395035,450,car,high,8,0,04-10-2016,13:29:00
2636,BHMEURBRD01,470,26.14901995,91.7395035,446,car,average,4,0,04-10-2016,14:02:00
2637,BHMEURBRD01,470,26.14901995,91.7395035,433,bike,average,4,0,04-10-2016,14:29:00
2638,BHMEURBRD01,470,26.14901995,91.7395035,426,car,average,4,0,04-10-2016,14:57:00
2639,BHMEURBRD01,470,26.14901995,91.7395035,411,car,low,3,0,04-10-2016,15:30:00
2640,BHMEURBRD01,470,26.14901995,91.7395035,376,bike,low,3,0,04-10-2016,16:04:00
2641,BHMEURBRD01,470,26.14901995,91.7395035,325,car,low,2,0,04-10-2016,16:31:00
2642,BHMEURBRD01,470,26.14901995,91.7395035,127,car,low,1,0,05-10-2016,07:57:00
2643,BHMEURBRD01,470,26.14901995,91.7395035,201,truck,low,2,0,05-10-2016,08:30:00
2644,BHMEURBRD01,470,26.14901995,91.7395035,283,car,low,2,0,05-10-2016,09:04:00
2645,BHMEURBRD01,470,26.14901995,91.7395035,347,cycle,low,2,0,05-10-2016,09:30:00
2646,BHMEURBRD01,470,26.14901995,91.7395035,383,bike,low,3,0,05-10-2016,10:04:00
2647,BHMEURBRD01,470,26.14901995,91.7395035,404,bike,average,4,0,05-10-2016,10:30:00
2648,BHMEURBRD01,470,26.14901995,91.7395035,420,car,average,5,0,05-10-2016,11:04:00
2649,BHMEURBRD01,470,26.14901995,91.7395035,429,cycle,high,8,0,05-10-2016,11:30:00
2650,BHMEURBRD01,470,26.14901995,91.7395035,447,car,high,8,0,05-10-2016,12:04:00
2651,BHMEURBRD01,470,26.14901995,91.7395035,450,car,high,9,0,05-10-2016,12:30:00
2652,BHMEURBRD01,470,26.14901995,91.7395035,451,bike,high,8,0,05-10-2016,12:57:00
2653,BHMEURBRD01,470,26.14901995,91.7395035,454,car,high,8,0,05-10-2016,13:30:00
2654,BHMEURBRD01,470,26.14901995,91.7395035,455,car,average,5,0,05-10-2016,13:57:00
2655,BHMEURBRD01,470,26.14901995,91.7395035,447,car,average,4,0,05-10-2016,14:30:00
2656,BHMEURBRD01,470,26.14901995,91.7395035,435,bike,average,4,0,05-10-2016,14:57:00
2657,BHMEURBRD01,470,26.14901995,91.7395035,403,truck,low,3,0,05-10-2016,15:30:00
2658,BHMEURBRD01,470,26.14901995,91.7395035,374,car,low,2,0,05-10-2016,16:04:00
2659,BHMEURBRD01,470,26.14901995,91.7395035,335,bike,low,2,0,05-10-2016,16:30:00
2660,BHMEURBRD01,470,26.14901995,91.7395035,128,car,average,1,0,06-10-2016,07:57:00
2661,BHMEURBRD01,470,26.14901995,91.7395035,199,bike,low,1,0,06-10-2016,08:30:00
2662,BHMEURBRD01,470,26.14901995,91.7395035,284,car,low,2,0,06-10-2016,08:57:00
2663,BHMEURBRD01,470,26.14901995,91.7395035,337,car,low,2,0,06-10-2016,09:30:00
2664,BHMEURBRD01,470,26.14901995,91.7395035,388,car,low,3,0,06-10-2016,10:03:00
2665,BHMEURBRD01,470,26.14901995,91.7395035,424,car,average,4,0,06-10-2016,10:30:00
2666,BHMEURBRD01,470,26.14901995,91.7395035,441,truck,average,4,0,06-10-2016,10:57:00
2667,BHMEURBRD01,470,26.14901995,91.7395035,450,truck,high,7,0,06-10-2016,11:30:00
2668,BHMEURBRD01,470,26.14901995,91.7395035,460,car,high,8,0,06-10-2016,12:04:00
2669,BHMEURBRD01,470,26.14901995,91.7395035,465,car,high,8,0,06-10-2016,12:30:00
2670,BHMEURBRD01,470,26.14901995,91.7395035,459,truck,high,8,0,06-10-2016,12:57:00
2671,BHMEURBRD01,470,26.14901995,91.7395035,460,bike,high,8,0,06-10-2016,13:30:00
2672,BHMEURBRD01,470,26.14901995,91.7395035,455,car,average,5,0,06-10-2016,13:57:00
2673,BHMEURBRD01,470,26.14901995,91.7395035,438,cycle,average,4,0,06-10-2016,14:30:00
2674,BHMEURBRD01,470,26.14901995,91.7395035,429,car,low,2,0,06-10-2016,15:04:00
2675,BHMEURBRD01,470,26.14901995,91.7395035,403,car,low,2,0,06-10-2016,15:31:00
2676,BHMEURBRD01,470,26.14901995,91.7395035,393,car,low,2,0,06-10-2016,16:04:00
2677,BHMEURBRD01,470,26.14901995,91.7395035,347,bike,low,1,0,06-10-2016,16:30:00
2678,BHMEURBRD01,470,26.14901995,91.7395035,121,car,low,2,0,07-10-2016,08:03:00
2679,BHMEURBRD01,470,26.14901995,91.7395035,189,car,low,2,0,07-10-2016,08:30:00
