ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime
3936,BHMMBMMBX01,687,20.0000347,78.00000286,264,car,low,2,0,04-10-2016,07:59:00
3937,BHMMBMMBX01,687,20.0000347,78.00000286,302,car,low,1,0,04-10-2016,08:25:00
3938,BHMMBMMBX01,687,20.0000347,78.00000286,346,truck,low,2,0,04-10-2016,08:59:00
3939,BHMMBMMBX01,687,20.0000347,78.00000286,414,truck,low,2,0,04-10-2016,09:32:00
3940,BHMMBMMBX01,687,20.0000347,78.00000286,485,car,low,3,0,04-10-2016,09:59:00
3941,BHMMBMMBX01,687,20.0000347,78.00000286,530,car,average,5,0,04-10-2016,10:26:00
3942,BHMMBMMBX01,687,20.0000347,78.00000286,573,car,average,4,0,04-10-2016,10:59:00
3943,BHMMBMMBX01,687,20.0000347,78.00000286,604,bike,average,5,0,04-10-2016,11:25:00
3944,BHMMBMMBX01,687,20.0000347,78.00000286,634,bike,average,5,0,04-10-2016,11:59:00
3945,BHMMBMMBX01,687,20.0000347,78.00000286,648,bike,high,9,0,04-10-2016,12:29:00
3946,BHMMBMMBX01,687,20.0000347,78.00000286,651,truck,average,6,0,04-10-2016,13:02:00
3947,BHMMBMMBX01,687,20.0000347,78.00000286,648,car,high,8,0,04-10-2016,13:29:00
3948,BHMMBMMBX01,687,20.0000347,78.00000286,637,car,high,6,0,04-10-2016,14:02:00
3949,BHMMBMMBX01,687,20.0000347,78.00000286,627,truck,average,4,0,04-10-2016,14:29:00
3950,BHMMBMMBX01,687,20.0000347,78.00000286,593,cycle,average,4,0,04-10-2016,14:57:00
3951,BHMMBMMBX01,687,20.0000347,78.00000286,572,car,average,3,0,04-10-2016,15:30:00
3952,BHMMBMMBX01,687,20.0000347,78.00000286,511,car,low,3,0,04-10-2016,16:04:00
3953,BHMMBMMBX01,687,20.0000347,78.00000286,471,car,low,2,0,04-10-2016,16:31:00
3954,BHMMBMMBX01,687,20.0000347,78.00000286,282,bike,low,2,0,05-10-2016,07:57:00
3955,BHMMBMMBX01,687,20.0000347,78.00000286,330,car,low,2,0,05-10-2016,08:30:00
3956,BHMMBMMBX01,687,20.0000347,78.00000286,395,cycle,average,3,0,05-10-2016,09:04:00
3957,BHMMBMMBX01,687,20.0000347,78.00000286,464,car,low,2,0,05-10-2016,09:30:00
3958,BHMMBMMBX01,687,20.0000347,78.00000286,536,car,low,4,0,05-10-2016,10:04:00
3959,BHMMBMMBX01,687,20.0000347,78.00000286,578,cycle,average,4,0,05-10-2016,10:30:00
3960,BHMMBMMBX01,687,20.0000347,78.00000286,619,car,average,5,0,05-10-2016,11:04:00
3961,BHMMBMMBX01,687,20.0000347,78.00000286,640,cycle,average,6,0,05-10-2016,11:30:00
3962,BHMMBMMBX01,687,20.0000347,78.00000286,650,car,high,9,0,05-10-2016,12:04:00
3963,BHMMBMMBX01,687,20.0000347,78.00000286,661,car,high,9,0,05-10-2016,12:30:00
3964,BHMMBMMBX01,687,20.0000347,78.00000286,663,bike,high,8,0,05-10-2016,12:57:00
3965,BHMMBMMBX01,687,20.0000347,78.00000286,638,car,high,8,0,05-10-2016,13:30:00
3966,BHMMBMMBX01,687,20.0000347,78.00000286,635,bike,average,6,0,05-10-2016,13:57:00
3967,BHMMBMMBX01,687,20.0000347,78.00000286,620,bike,average,4,0,05-10-2016,14:30:00
3968,BHMMBMMBX01,687,20.0000347,78.00000286,584,car,average,5,0,05-10-2016,14:57:00
3969,BHMMBMMBX01,687,20.0000347,78.00000286,555,car,low,3,0,05-10-2016,15:30:00
3970,BHMMBMMBX01,687,20.0000347,78.00000286,513,cycle,low,2,0,05-10-2016,16:04:00
3971,BHMMBMMBX01,687,20.0000347,78.00000286,465,car,low,2,0,05-10-2016,16:30:00
3972,BHMMBMMBX01,687,20.0000347,78.00000286,356,car,low,2,0,06-10-2016,07:57:00
3973,BHMMBMMBX01,687,20.0000347,78.00000286,392,car,low,2,0,06-10-2016,08:30:00
3974,BHMMBMMBX01,687,20.0000347,78.00000286,447,car,low,2,0,06-10-2016,08:57:00
3975,BHMMBMMBX01,687,20.0000347,78.00000286,505,truck,low,3,0,06-10-2016,09:30:00
3976,BHMMBMMBX01,687,20.0000347,78.00000286,549,car,low,4,0,06-10-2016,10:03:00
3977,BHMMBMMBX01,687,20.0000347,78.00000286,578,car,high,6,0,06-10-2016,10:30:00
3978,BHMMBMMBX01,687,20.0000347,78.00000286,591,truck,average,4,0,06-10-2016,10:57:00
3979,BHMMBMMBX01,687,20.0000347,78.00000286,614,truck,average,5,0,06-10-2016,11:30:00
3980,BHMMBMMBX01,687,20.0000347,78.00000286,648,truck,high,9,0,06-10-2016,12:04:00
3981,BHMMBMMBX01,687,20.0000347,78.00000286,659,cycle,high,9,0,06-10-2016,12:30:00
3982,BHMMBMMBX01,687,20.0000347,78.00000286,600,car,high,9,0,06-10-2016,12:57:00
3983,BHMMBMMBX01,687,20.0000347,78.00000286,585,car,high,7,0,06-10-2016,13:30:00
3984,BHMMBMMBX01,687,20.0000347,78.00000286,582,truck,average,6,0,06-10-2016,13:57:00
3985,BHMMBMMBX01,687,20.0000347,78.00000286,570,truck,average,4,0,06-10-2016,14:30:00
3986,BHMMBMMBX01,687,20.0000347,78.00000286,547,truck,low,3,0,06-10-2016,15:04:00
3987,BHMMBMMBX01,687,20.0000347,78.00000286,519,truck,low,2,0,06-10-2016,15:31:00
3988,BHMMBMMBX01,687,20.0000347,78.00000286,501,car,low,3,0,06-10-2016,16:04:00
3989,BHMMBMMBX01,687,20.0000347,78.00000286,479,car,low,2,0,06-10-2016,16:30:00
3990,BHMMBMMBX01,687,20.0000347,78.00000286,423,car,low,1,0,07-10-2016,08:03:00
3991,BHMMBMMBX01,687,20.0000347,78.00000286,443,bike,low,2,0,07-10-2016,08:30:00
3992,BHMMBMMBX01,687,20.0000347,78.00000286,501,cycle,low,2,0,07-10-2016,09:04:00
3993,BHMMBMMBX01,687,20.0000347,78.00000286,531,car,average,3,0,07-10-2016,09:30:00
3994,BHMMBMMBX01,687,20.0000347,78.00000286,569,bike,low,2,0,07-10-2016,09:57:00
3995,BHMMBMMBX01,687,20.0000347,78.00000286,606,car,average,4,0,07-10-2016,10:30:00
3996,BHMMBMMBX01,687,20.0000347,78.00000286,622,bike,average,4,0,07-10-2016,10:57:00
3997,BHMMBMMBX01,687,20.0000347,78.00000286,643,truck,average,5,0,07-10-2016,11:30:00
3998,BHMMBMMBX01,687,20.0000347,78.00000286,660,car,high,9,0,07-10-2016,12:03:00
3999,BHMMBMMBX01,687,20.0000347,78.00000286,665,truck,high,9,0,07-10-2016,12:30:00
4000,BHMMBMMBX01,687,20.0000347,78.00000286,667,car,average,5,0,07-10-2016,13:04:00
4001,BHMMBMMBX01,687,20.0000347,78.00000286,653,car,high,8,0,07-10-2016,13:30:00
4002,BHMMBMMBX01,687,20.0000347,78.00000286,636,car,average,4,0,07-10-2016,14:03:00
4003,BHMMBMMBX01,687,20.0000347,78.00000286,616,truck,average,4,0,07-10-2016,14:30:00
4004,BHMMBMMBX01,687,20.0000347,78.00000286,598,car,low,2,0,07-10-2016,15:04:00
4005,BHMMBMMBX01,687,20.0000347,78.00000286,582,car,low,3,0,07-10-2016,15:30:00
4006,BHMMBMMBX01,687,20.0000347,78.00000286,542,car,low,2,0,07-10-2016,15:57:00
4007,BHMMBMMBX01,687,20.0000347,78.00000286,535,truck,low,2,0,07-10-2016,16:30:00
4008,BHMMBMMBX01,687,20.0000347,78.00000286,392,car,low,2,0,08-10-2016,07:57:00
