ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime
6560,BHMNCPNST01,485,26.14004753,91.73097233,249,car,low,2,0,04-10-2016,07:59:00
6561,BHMNCPNST01,485,26.14004753,91.73097233,267,truck,low,2,0,04-10-2016,08:25:00
6562,BHMNCPNST01,485,26.14004753,91.73097233,278,car,low,2,0,04-10-2016,08:59:00
6563,BHMNCPNST01,485,26.14004753,91.73097233,302,truck,low,3,0,04-10-2016,09:32:00
6564,BHMNCPNST01,485,26.14004753,91.73097233,327,car,average,3,0,04-10-2016,09:59:00
6565,BHMNCPNST01,485,26.14004753,91.73097233,351,car,low,3,0,04-10-2016,10:26:00
6566,BHMNCPNST01,485,26.14004753,91.73097233,371,car,high,6,0,04-10-2016,10:59:00
6567,BHMNCPNST01,485,26.14004753,91.73097233,373,truck,high,7,0,04-10-2016,11:25:00
6568,BHMNCPNST01,485,26.14004753,91.73097233,381,car,high,7,0,04-10-2016,11:59:00
6569,BHMNCPNST01,485,26.14004753,91.73097233,379,car,average,6,0,04-10-2016,12:29:00
6570,BHMNCPNST01,485,26.14004753,91.73097233,374,bike,high,8,0,04-10-2016,12:56:00
6571,BHMNCPNST01,485,26.14004753,91.73097233,375,bike,high,7,0,04-10-2016,13:29:00
6572,BHMNCPNST01,485,26.14004753,91.73097233,381,car,average,5,0,04-10-2016,14:02:00
6573,BHMNCPNST01,485,26.14004753,91.73097233,373,car,average,4,0,04-10-2016,14:29:00
6574,BHMNCPNST01,485,26.14004753,91.73097233,354,bike,average,4,0,04-10-2016,14:57:00
6575,BHMNCPNST01,485,26.14004753,91.73097233,338,car,low,3,0,04-10-2016,15:30:00
6576,BHMNCPNST01,485,26.14004753,91.73097233,317,car,low,2,0,04-10-2016,16:04:00
6577,BHMNCPNST01,485,26.14004753,91.73097233,304,car,low,2,0,04-10-2016,16:31:00
6578,BHMNCPNST01,485,26.14004753,91.73097233,268,car,low,2,0,05-10-2016,07:57:00
6579,BHMNCPNST01,485,26.14004753,91.73097233,273,car,low,1,0,05-10-2016,08:30:00
6580,BHMNCPNST01,485,26.14004753,91.73097233,293,car,low,2,0,05-10-2016,09:04:00
6581,BHMNCPNST01,485,26.14004753,91.73097233,317,car,low,2,0,05-10-2016,09:30:00
6582,BHMNCPNST01,485,26.14004753,91.73097233,339,truck,low,3,0,05-10-2016,10:04:00
6583,BHMNCPNST01,485,26.14004753,91.73097233,355,car,average,3,0,05-10-2016,10:30:00
6584,BHMNCPNST01,485,26.14004753,91.73097233,367,truck,average,6,0,05-10-2016,11:04:00
6585,BHMNCPNST01,485,26.14004753,91.73097233,366,car,average,5,0,05-10-2016,11:30:00
6586,BHMNCPNST01,485,26.14004753,91.73097233,369,car,high,8,0,05-10-2016,12:04:00
6587,BHMNCPNST01,485,26.14004753,91.73097233,376,car,high,8,0,05-10-2016,12:17:00
6588,BHMNCPNST01,485,26.14004753,91.73097233,373,car,high,8,0,05-10-2016,12:57:00
6589,BHMNCPNST01,485,26.14004753,91.73097233,372,truck,high,7,0,05-10-2016,13:30:00
6590,BHMNCPNST01,485,26.14004753,91.73097233,368,car,high,7,0,05-10-2016,13:57:00
6591,BHMNCPNST01,485,26.14004753,91.73097233,361,car,average,4,0,05-10-2016,14:30:00
6592,BHMNCPNST01,485,26.14004753,91.73097233,356,bike,average,4,0,05-10-2016,14:57:00
6593,BHMNCPNST01,485,26.14004753,91.73097233,325,car,low,2,0,05-10-2016,15:30:00
6594,BHMNCPNST01,485,26.14004753,91.73097233,316,bike,low,2,0,05-10-2016,15:57:00
6595,BHMNCPNST01,485,26.14004753,91.73097233,299,truck,low,2,0,05-10-2016,16:30:00
6596,BHMNCPNST01,485,26.14004753,91.73097233,260,bike,low,2,0,06-10-2016,07:57:00
6597,BHMNCPNST01,485,26.14004753,91.73097233,277,bike,low,2,0,06-10-2016,08:30:00
6598,BHMNCPNST01,485,26.14004753,91.73097233,282,car,low,1,0,06-10-2016,08:57:00
6599,BHMNCPNST01,485,26.14004753,91.73097233,297,truck,low,3,0,06-10-2016,09:30:00
6600,BHMNCPNST01,485,26.14004753,91.73097233,323,car,average,3,0,06-10-2016,10:03:00
6601,BHMNCPNST01,485,26.14004753,91.73097233,336,truck,average,4,0,06-10-2016,10:30:00
6602,BHMNCPNST01,485,26.14004753,91.73097233,340,bike,average,4,0,06-10-2016,10:57:00
6603,BHMNCPNST01,485,26.14004753,91.73097233,346,car,average,5,0,06-10-2016,11:30:00
6604,BHMNCPNST01,485,26.14004753,91.73097233,345,bike,average,5,0,06-10-2016,12:04:00
6605,BHMNCPNST01,485,26.14004753,91.73097233,343,car,high,7,0,06-10-2016,12:24:00
6606,BHMNCPNST01,485,26.14004753,91.73097233,345,car,high,7,0,06-10-2016,12:57:00
6607,BHMNCPNST01,485,26.14004753,91.73097233,344,car,high,7,0,06-10-2016,13:30:00
6608,BHMNCPNST01,485,26.14004753,91.73097233,343,car,average,5,0,06-10-2016,13:57:00
6609,BHMNCPNST01,485,26.14004753,91.73097233,320,car,average,4,0,06-10-2016,14:30:00
6610,BHMNCPNST01,485,26.14004753,91.73097233,321,car,low,3,0,06-10-2016,15:04:00
6611,BHMNCPNST01,485,26.14004753,91.73097233,310,car,low,3,0,06-10-2016,15:31:00
6612,BHMNCPNST01,485,26.14004753,91.73097233,298,car,low,1,0,06-10-2016,16:04:00
6613,BHMNCPNST01,485,26.14004753,91.73097233,278,cycle,low,3,0,06-10-2016,16:30:00
6614,BHMNCPNST01,485,26.14004753,91.73097233,240,truck,low,2,0,07-10-2016,08:03:00
6615,BHMNCPNST01,485,26.14004753,91.73097233,254,car,low,2,0,07-10-2016,08:30:00
6616,BHMNCPNST01,485,26.14004753,91.73097233,274,car,low,3,0,07-10-2016,09:04:00
6617,BHMNCPNST01,485,26.14004753,91.73097233,283,bike,low,3,0,07-10-2016,09:30:00
6618,BHMNCPNST01,485,26.14004753,91.73097233,302,truck,average,2,0,07-10-2016,09:57:00
6619,BHMNCPNST01,485,26.14004753,91.73097233,309,truck,high,5,0,07-10-2016,10:30:00
6620,BHMNCPNST01,485,26.14004753,91.73097233,309,car,average,3,0,07-10-2016,10:57:00
6621,BHMNCPNST01,485,26.14004753,91.73097233,304,truck,average,5,0,07-10-2016,11:30:00
6622,BHMNCPNST01,485,26.14004753,91.73097233,315,car,high,8,0,07-10-2016,12:03:00
6623,BHMNCPNST01,485,26.14004753,91.73097233,307,truck,high,8,0,07-10-2016,12:30:00
