ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime
7872,Broad Street,690,26.13795775,91.74099445,178,car,low,2,0,04-10-2016,07:59:00
7873,Broad Street,690,26.13795775,91.74099445,269,car,low,2,0,04-10-2016,08:25:00
7874,Broad Street,690,26.13795775,91.74099445,415,bike,low,3,0,04-10-2016,08:59:00
7875,Broad Street,690,26.13795775,91.74099445,530,car,low,2,0,04-10-2016,09:32:00
7876,Broad Street,690,26.13795775,91.74099445,600,car,low,2,0,04-10-2016,09:59:00
7877,Broad Street,690,26.13795775,91.74099445,642,car,low,4,0,04-10-2016,10:26:00
7878,Broad Street,690,26.13795775,91.74099445,675,bike,average,4,0,04-10-2016,10:59:00
7879,Broad Street,690,26.13795775,91.74099445,672,car,average,6,0,04-10-2016,11:25:00
7880,Broad Street,690,26.13795775,91.74099445,677,car,high,7,0,04-10-2016,11:59:00
7881,Broad Street,690,26.13795775,91.74099445,683,car,high,9,0,04-10-2016,12:29:00
7882,Broad Street,690,26.13795775,91.74099445,660,bike,high,8,0,04-10-2016,13:02:00
7883,Broad Street,690,26.13795775,91.74099445,648,cycle,high,8,0,04-10-2016,13:29:00
7884,Broad Street,690,26.13795775,91.74099445,639,car,high,6,0,04-10-2016,14:02:00
7885,Broad Street,690,26.13795775,91.74099445,621,car,average,4,0,04-10-2016,14:29:00
7886,Broad Street,690,26.13795775,91.74099445,606,car,average,5,0,04-10-2016,14:57:00
7887,Broad Street,690,26.13795775,91.74099445,581,car,low,2,0,04-10-2016,15:30:00
7888,Broad Street,690,26.13795775,91.74099445,534,car,low,2,0,04-10-2016,16:04:00
7889,Broad Street,690,26.13795775,91.74099445,466,cycle,average,2,0,04-10-2016,16:31:00
7890,Broad Street,690,26.13795775,91.74099445,180,car,low,2,0,05-10-2016,07:57:00
