ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime
15744,Others-CCCPS98,3103,26.14749998,91.72797778,588,car,average,2,0,04-10-2016,07:59:00
15745,Others-CCCPS98,3103,26.14749998,91.72797778,678,bike,average,3,0,04-10-2016,08:25:00
15746,Others-CCCPS98,3103,26.14749998,91.72797778,792,car,low,3,0,04-10-2016,08:59:00
15747,Others-CCCPS98,3103,26.14749998,91.72797778,932,car,low,3,0,04-10-2016,09:32:00
15748,Others-CCCPS98,3103,26.14749998,91.72797778,1052,cycle,low,3,0,04-10-2016,09:59:00
15749,Others-CCCPS98,3103,26.14749998,91.72797778,1142,car,low,4,0,04-10-2016,10:26:00
15750,Others-CCCPS98,3103,26.14749998,91.72797778,1210,car,average,5,0,04-10-2016,10:59:00
15751,Others-CCCPS98,3103,26.14749998,91.72797778,1241,truck,high,9,0,04-10-2016,11:25:00
15752,Others-CCCPS98,3103,26.14749998,91.72797778,1288,bike,average,6,0,04-10-2016,11:59:00
15753,Others-CCCPS98,3103,26.14749998,91.72797778,1297,truck,high,10,0,04-10-2016,12:29:00
15754,Others-CCCPS98,3103,26.14749998,91.72797778,1288,bike,high,9,0,04-10-2016,13:02:00
15755,Others-CCCPS98,3103,26.14749998,91.72797778,1273,cycle,high,8,0,04-10-2016,13:29:00
15756,Others-CCCPS98,3103,26.14749998,91.72797778,1262,car,average,5,0,04-10-2016,14:02:00
15757,Others-CCCPS98,3103,26.14749998,91.72797778,1238,car,average,5,0,04-10-2016,14:29:00
15758,Others-CCCPS98,3103,26.14749998,91.72797778,1169,car,average,5,0,04-10-2016,14:57:00
15759,Others-CCCPS98,3103,26.14749998,91.72797778,1127,car,low,3,0,04-10-2016,15:30:00
15760,Others-CCCPS98,3103,26.14749998,91.72797778,1019,car,low,3,0,04-10-2016,16:04:00
15761,Others-CCCPS98,3103,26.14749998,91.72797778,936,bike,low,2,0,04-10-2016,16:31:00
15762,Others-CCCPS98,3103,26.14749998,91.72797778,650,bike,low,2,0,05-10-2016,07:57:00
15763,Others-CCCPS98,3103,26.14749998,91.72797778,760,car,low,2,0,05-10-2016,08:30:00
15764,Others-CCCPS98,3103,26.14749998,91.72797778,896,car,average,4,0,05-10-2016,09:04:00
15765,Others-CCCPS98,3103,26.14749998,91.72797778,1003,car,low,3,0,05-10-2016,09:30:00
15766,Others-CCCPS98,3103,26.14749998,91.72797778,1112,bike,low,4,0,05-10-2016,10:04:00
15767,Others-CCCPS98,3103,26.14749998,91.72797778,1182,car,high,6,0,05-10-2016,10:30:00
15768,Others-CCCPS98,3103,26.14749998,91.72797778,1250,bike,average,6,0,05-10-2016,11:04:00
15769,Others-CCCPS98,3103,26.14749998,91.72797778,1259,truck,average,6,0,05-10-2016,11:30:00
15770,Others-CCCPS98,3103,26.14749998,91.72797778,1264,bike,high,9,0,05-10-2016,12:04:00
15771,Others-CCCPS98,3103,26.14749998,91.72797778,1278,truck,high,9,0,05-10-2016,12:30:00
15772,Others-CCCPS98,3103,26.14749998,91.72797778,1279,car,high,9,0,05-10-2016,12:57:00
15773,Others-CCCPS98,3103,26.14749998,91.72797778,1248,car,high,9,0,05-10-2016,13:30:00
15774,Others-CCCPS98,3103,26.14749998,91.72797778,1237,car,average,7,0,05-10-2016,13:57:00
15775,Others-CCCPS98,3103,26.14749998,91.72797778,1192,car,average,4,0,05-10-2016,14:30:00
15776,Others-CCCPS98,3103,26.14749998,91.72797778,1135,bike,high,7,0,05-10-2016,14:57:00
15777,Others-CCCPS98,3103,26.14749998,91.72797778,1056,car,low,3,0,05-10-2016,15:30:00
15778,Others-CCCPS98,3103,26.14749998,91.72797778,992,car,low,2,0,05-10-2016,16:04:00
15779,Others-CCCPS98,3103,26.14749998,91.72797778,893,cycle,low,2,0,05-10-2016,16:30:00
15780,Others-CCCPS98,3103,26.14749998,91.72797778,692,car,low,2,0,06-10-2016,07:57:00
15781,Others-CCCPS98,3103,26.14749998,91.72797778,785,car,average,3,0,06-10-2016,08:30:00
15782,Others-CCCPS98,3103,26.14749998,91.72797778,896,car,low,2,0,06-10-2016,08:57:00
15783,Others-CCCPS98,3103,26.14749998,91.72797778,999,bike,low,2,0,06-10-2016,09:30:00
15784,Others-CCCPS98,3103,26.14749998,91.72797778,1105,bike,low,4,0,06-10-2016,10:03:00
15785,Others-CCCPS98,3103,26.14749998,91.72797778,1158,cycle,average,5,0,06-10-2016,10:30:00
15786,Others-CCCPS98,3103,26.14749998,91.72797778,1184,car,average,4,0,06-10-2016,10:57:00
15787,Others-CCCPS98,3103,26.14749998,91.72797778,1229,bike,high,9,0,06-10-2016,11:30:00
15788,Others-CCCPS98,3103,26.14749998,91.72797778,1273,cycle,high,9,0,06-10-2016,12:04:00
15789,Others-CCCPS98,3103,26.14749998,91.72797778,1283,car,average,6,0,06-10-2016,12:30:00
15790,Others-CCCPS98,3103,26.14749998,91.72797778,1220,car,high,10,0,06-10-2016,12:57:00
15791,Others-CCCPS98,3103,26.14749998,91.72797778,1196,cycle,high,8,0,06-10-2016,13:30:00
15792,Others-CCCPS98,3103,26.14749998,91.72797778,1178,bike,average,5,0,06-10-2016,13:57:00
15793,Others-CCCPS98,3103,26.14749998,91.72797778,1124,car,average,5,0,06-10-2016,14:30:00
15794,Others-CCCPS98,3103,26.14749998,91.72797778,1081,car,low,3,0,06-10-2016,15:04:00
15795,Others-CCCPS98,3103,26.14749998,91.72797778,1032,car,average,3,0,06-10-2016,15:31:00
15796,Others-CCCPS98,3103,26.14749998,91.72797778,973,car,low,2,0,06-10-2016,16:04:00
15797,Others-CCCPS98,3103,26.14749998,91.72797778,907,cycle,low,2,0,06-10-2016,16:30:00
15798,Others-CCCPS98,3103,26.14749998,91.72797778,747,car,low,2,0,07-10-2016,08:03:00
15799,Others-CCCPS98,3103,26.14749998,91.72797778,821,bike,low,3,0,07-10-2016,08:30:00
15800,Others-CCCPS98,3103,26.14749998,91.72797778,942,bike,low,2,0,07-10-2016,09:04:00
15801,Others-CCCPS98,3103,26.14749998,91.72797778,1003,cycle,low,3,0,07-10-2016,09:30:00
15802,Others-CCCPS98,3103,26.14749998,91.72797778,1076,cycle,low,3,0,07-10-2016,09:57:00
15803,Others-CCCPS98,3103,26.14749998,91.72797778,1138,truck,average,4,0,07-10-2016,10:30:00
15804,Others-CCCPS98,3103,26.14749998,91.72797778,1162,bike,average,4,0,07-10-2016,10:57:00
15805,Others-CCCPS98,3103,26.14749998,91.72797778,1183,car,average,6,0,07-10-2016,11:30:00
15806,Others-CCCPS98,3103,26.14749998,91.72797778,1208,cycle,high,9,0,07-10-2016,12:03:00
15807,Others-CCCPS98,3103,26.14749998,91.72797778,1196,car,high,9,0,07-10-2016,12:30:00
15808,Others-CCCPS98,3103,26.14749998,91.72797778,1190,truck,high,9,0,07-10-2016,13:04:00
15809,Others-CCCPS98,3103,26.14749998,91.72797778,1158,car,high,8,0,07-10-2016,13:30:00
15810,Others-CCCPS98,3103,26.14749998,91.72797778,1125,car,average,4,0,07-10-2016,14:03:00
15811,Others-CCCPS98,3103,26.14749998,91.72797778,1087,bike,average,5,0,07-10-2016,14:30:00
15812,Others-CCCPS98,3103,26.14749998,91.72797778,1039,car,low,3,0,07-10-2016,15:04:00
15813,Others-CCCPS98,3103,26.14749998,91.72797778,1005,truck,low,3,0,07-10-2016,15:30:00
15814,Others-CCCPS98,3103,26.14749998,91.72797778,936,car,low,3,0,07-10-2016,15:57:00
15815,Others-CCCPS98,3103,26.14749998,91.72797778,896,cycle,low,2,0,07-10-2016,16:30:00
15816,Others-CCCPS98,3103,26.14749998,91.72797778,628,car,low,3,0,08-10-2016,07:57:00
15817,Others-CCCPS98,3103,26.14749998,91.72797778,644,bike,low,2,0,08-10-2016,08:30:00
15818,Others-CCCPS98,3103,26.14749998,91.72797778,674,car,low,2,0,08-10-2016,08:57:00
15819,Others-CCCPS98,3103,26.14749998,91.72797778,702,car,low,3,0,08-10-2016,09:30:00
15820,Others-CCCPS98,3103,26.14749998,91.72797778,733,car,low,3,0,08-10-2016,10:04:00
15821,Others-CCCPS98,3103,26.14749998,91.72797778,759,car,average,5,0,08-10-2016,10:30:00
15822,Others-CCCPS98,3103,26.14749998,91.72797778,788,truck,average,5,0,08-10-2016,10:57:00
15823,Others-CCCPS98,3103,26.14749998,91.72797778,818,cycle,average,5,0,08-10-2016,11:30:00
15824,Others-CCCPS98,3103,26.14749998,91.72797778,859,car,high,10,0,08-10-2016,12:04:00
15825,Others-CCCPS98,3103,26.14749998,91.72797778,898,car,high,8,0,08-10-2016,12:30:00
15826,Others-CCCPS98,3103,26.14749998,91.72797778,955,bike,average,5,0,08-10-2016,13:04:00
15827,Others-CCCPS98,3103,26.14749998,91.72797778,991,bike,high,8,0,08-10-2016,13:30:00
15828,Others-CCCPS98,3103,26.14749998,91.72797778,1058,car,high,7,0,08-10-2016,14:03:00
15829,Others-CCCPS98,3103,26.14749998,91.72797778,1099,car,average,5,0,08-10-2016,14:30:00
15830,Others-CCCPS98,3103,26.14749998,91.72797778,1118,car,average,5,0,08-10-2016,14:57:00
15831,Others-CCCPS98,3103,26.14749998,91.72797778,1118,car,low,3,0,08-10-2016,15:30:00
15832,Others-CCCPS98,3103,26.14749998,91.72797778,1122,truck,low,2,0,08-10-2016,16:04:00
15833,Others-CCCPS98,3103,26.14749998,91.72797778,1126,truck,low,2,0,08-10-2016,16:30:00
15834,Others-CCCPS98,3103,26.14749998,91.72797778,528,truck,low,3,1,09-10-2016,08:04:00
15835,Others-CCCPS98,3103,26.14749998,91.72797778,530,truck,low,3,1,09-10-2016,08:30:00
15836,Others-CCCPS98,3103,26.14749998,91.72797778,535,car,low,4,1,09-10-2016,09:04:00
15837,Others-CCCPS98,3103,26.14749998,91.72797778,561,truck,low,4,1,09-10-2016,09:30:00
15838,Others-CCCPS98,3103,26.14749998,91.72797778,577,bike,low,4,1,09-10-2016,09:57:00
15839,Others-CCCPS98,3103,26.14749998,91.72797778,603,bike,high,8,1,09-10-2016,10:30:00
15840,Others-CCCPS98,3103,26.14749998,91.72797778,624,car,average,8,1,09-10-2016,11:04:00
15841,Others-CCCPS98,3103,26.14749998,91.72797778,660,bike,average,8,1,09-10-2016,11:30:00
15842,Others-CCCPS98,3103,26.14749998,91.72797778,668,car,average,8,1,09-10-2016,11:57:00
15843,Others-CCCPS98,3103,26.14749998,91.72797778,668,car,average,10,1,09-10-2016,12:30:00
15844,Others-CCCPS98,3103,26.14749998,91.72797778,677,bike,high,11,1,09-10-2016,13:04:00
15845,Others-CCCPS98,3103,26.14749998,91.72797778,667,car,high,11,1,09-10-2016,13:30:00
15846,Others-CCCPS98,3103,26.14749998,91.72797778,696,bike,average,6,1,09-10-2016,14:03:00
15847,Others-CCCPS98,3103,26.14749998,91.72797778,687,bike,average,7,1,09-10-2016,14:30:00
15848,Others-CCCPS98,3103,26.14749998,91.72797778,689,truck,low,4,1,09-10-2016,15:04:00
15849,Others-CCCPS98,3103,26.14749998,91.72797778,685,car,low,4,1,09-10-2016,15:30:00
15850,Others-CCCPS98,3103,26.14749998,91.72797778,654,bike,low,4,1,09-10-2016,16:03:00
15851,Others-CCCPS98,3103,26.14749998,91.72797778,604,car,low,3,1,09-10-2016,16:30:00
15852,Others-CCCPS98,3103,26.14749998,91.72797778,540,bike,low,2,0,10-10-2016,08:04:00
15853,Others-CCCPS98,3103,26.14749998,91.72797778,621,bike,low,2,0,10-10-2016,08:30:00
15854,Others-CCCPS98,3103,26.14749998,91.72797778,755,car,average,3,0,10-10-2016,09:04:00
15855,Others-CCCPS98,3103,26.14749998,91.72797778,846,bike,low,3,0,10-10-2016,09:30:00
15856,Others-CCCPS98,3103,26.14749998,91.72797778,945,bike,low,3,0,10-10-2016,10:03:00
15857,Others-CCCPS98,3103,26.14749998,91.72797778,1010,car,average,5,0,10-10-2016,10:30:00
