ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime
17056,Shopping,1920,26.15050395,91.73353109,614,cycle,low,2,0,04-10-2016,07:59:00
17057,Shopping,1920,26.15050395,91.73353109,761,car,low,2,0,04-10-2016,08:25:00
17058,Shopping,1920,26.15050395,91.73353109,958,car,low,2,0,04-10-2016,08:59:00
17059,Shopping,1920,26.15050395,91.73353109,1121,cycle,low,3,0,04-10-2016,09:32:00
17060,Shopping,1920,26.15050395,91.73353109,1254,truck,low,3,0,04-10-2016,09:59:00
17061,Shopping,1920,26.15050395,91.73353109,1324,car,low,4,0,04-10-2016,10:26:00
17062,Shopping,1920,26.15050395,91.73353109,1387,car,average,5,0,04-10-2016,10:59:00
17063,Shopping,1920,26.15050395,91.73353109,1428,truck,average,6,0,04-10-2016,11:25:00
17064,Shopping,1920,26.15050395,91.73353109,1447,car,average,6,0,04-10-2016,11:59:00
17065,Shopping,1920,26.15050395,91.73353109,1460,cycle,high,10,0,04-10-2016,12:29:00
17066,Shopping,1920,26.15050395,91.73353109,1448,car,high,9,0,04-10-2016,13:02:00
17067,Shopping,1920,26.15050395,91.73353109,1432,cycle,high,9,0,04-10-2016,13:29:00
17068,Shopping,1920,26.15050395,91.73353109,1430,car,average,5,0,04-10-2016,14:02:00
17069,Shopping,1920,26.15050395,91.73353109,1429,car,average,4,0,04-10-2016,14:29:00
17070,Shopping,1920,26.15050395,91.73353109,1381,car,average,5,0,04-10-2016,14:57:00
17071,Shopping,1920,26.15050395,91.73353109,1300,car,low,3,0,04-10-2016,15:30:00
17072,Shopping,1920,26.15050395,91.73353109,1218,car,low,3,0,04-10-2016,16:04:00
17073,Shopping,1920,26.15050395,91.73353109,1075,truck,low,2,0,04-10-2016,16:31:00
17074,Shopping,1920,26.15050395,91.73353109,602,car,low,2,0,05-10-2016,07:57:00
17075,Shopping,1920,26.15050395,91.73353109,779,bike,low,2,0,05-10-2016,08:30:00
17076,Shopping,1920,26.15050395,91.73353109,975,car,average,4,0,05-10-2016,09:04:00
17077,Shopping,1920,26.15050395,91.73353109,1138,car,low,3,0,05-10-2016,09:30:00
17078,Shopping,1920,26.15050395,91.73353109,1306,truck,low,4,0,05-10-2016,10:04:00
17079,Shopping,1920,26.15050395,91.73353109,1379,car,average,5,0,05-10-2016,10:30:00
17080,Shopping,1920,26.15050395,91.73353109,1410,bike,average,7,0,05-10-2016,11:04:00
17081,Shopping,1920,26.15050395,91.73353109,1430,car,average,6,0,05-10-2016,11:30:00
17082,Shopping,1920,26.15050395,91.73353109,1446,car,high,9,0,05-10-2016,12:04:00
17083,Shopping,1920,26.15050395,91.73353109,1437,car,average,7,0,05-10-2016,12:30:00
17084,Shopping,1920,26.15050395,91.73353109,1418,bike,high,9,0,05-10-2016,12:57:00
17085,Shopping,1920,26.15050395,91.73353109,1427,car,average,6,0,05-10-2016,13:30:00
17086,Shopping,1920,26.15050395,91.73353109,1422,car,average,6,0,05-10-2016,13:57:00
17087,Shopping,1920,26.15050395,91.73353109,1409,car,average,4,0,05-10-2016,14:30:00
17088,Shopping,1920,26.15050395,91.73353109,1378,bike,average,5,0,05-10-2016,14:57:00
17089,Shopping,1920,26.15050395,91.73353109,1303,car,low,2,0,05-10-2016,15:30:00
17090,Shopping,1920,26.15050395,91.73353109,1203,car,low,2,0,05-10-2016,16:04:00
17091,Shopping,1920,26.15050395,91.73353109,1049,car,low,2,0,05-10-2016,16:30:00
17092,Shopping,1920,26.15050395,91.73353109,615,car,low,2,0,06-10-2016,07:57:00
17093,Shopping,1920,26.15050395,91.73353109,772,car,average,3,0,06-10-2016,08:30:00
17094,Shopping,1920,26.15050395,91.73353109,937,car,low,2,0,06-10-2016,08:57:00
17095,Shopping,1920,26.15050395,91.73353109,1119,car,low,2,0,06-10-2016,09:30:00
17096,Shopping,1920,26.15050395,91.73353109,1230,truck,low,4,0,06-10-2016,10:03:00
17097,Shopping,1920,26.15050395,91.73353109,1285,truck,average,5,0,06-10-2016,10:30:00
17098,Shopping,1920,26.15050395,91.73353109,1335,bike,average,5,0,06-10-2016,10:57:00
17099,Shopping,1920,26.15050395,91.73353109,1366,car,average,6,0,06-10-2016,11:30:00
17100,Shopping,1920,26.15050395,91.73353109,1394,car,high,10,0,06-10-2016,12:04:00
17101,Shopping,1920,26.15050395,91.73353109,1408,bike,high,10,0,06-10-2016,12:30:00
17102,Shopping,1920,26.15050395,91.73353109,1422,car,high,9,0,06-10-2016,12:57:00
